State,Datetime,AnomalyScore,AnomalyState,PID,Algorithm,DataDatetime,CPU(%),RAM(%),RDISK(Bytes),WDISK(Bytes),TOTALTIME(s)
Positivo,1714483679,-1.0054720843684,1,133649,svm,1714483679,325.44,4.64
Positivo,1714483681,-1.0054720843684,1,133649,svm,1714483681,327.04,4.61
Positivo,1714483683,-1.0054720843684,1,133649,svm,1714483683,328.42,4.78
Positivo,1714483685,-1.0054720843684,1,133649,svm,1714483685,329.85,4.81
Positivo,1714483687,-1.0054720843684,1,133649,svm,1714483687,331.13,4.22
Positivo,1714483689,-1.0054720843684,1,133649,svm,1714483689,332.18,4.95
Positivo,1714483691,-1.0054720843684,1,133649,svm,1714483691,333.39,3.65
Positivo,1714483693,-1.0054720843684,1,133649,svm,1714483693,334.3,4.3
Positivo,1714483695,-1.0054720843684,1,133649,svm,1714483695,335.49,4.56
Positivo,1714483697,-1.0054720843684,1,133649,svm,1714483697,336.52,4.92
Positivo,1714483700,-1.0054720843684,1,133649,svm,1714483700,337.49,4.02
Positivo,1714483702,-1.0054720843684,1,133649,svm,1714483702,338.21,4.58
Positivo,1714483704,-1.0054720843684,1,133649,svm,1714483704,339.24,4.77
Positivo,1714483706,-1.0054720843684,1,133649,svm,1714483706,340.23,4.77
Positivo,1714483708,-1.0054720843684,1,133649,svm,1714483708,340.94,4.35
Positivo,1714483710,-1.0054720843684,1,133649,svm,1714483710,341.6,4.92
Positivo,1714483651,-1.0054720843684,1,133655,svm,1714483651,2.54,1.59
Positivo,1714483653,-1.0054720843684,1,133655,svm,1714483653,2.44,1.59
Positivo,1714483655,-1.0054720843684,1,133655,svm,1714483655,2.35,1.59
Positivo,1714483657,-1.0054720843684,1,133655,svm,1714483657,2.26,1.59
Positivo,1714483659,-1.0054720843684,1,133655,svm,1714483659,2.18,1.59
Positivo,1714483661,-1.0054720843684,1,133655,svm,1714483661,2.11,1.59
Positivo,1714483663,-1.0054720843684,1,133655,svm,1714483663,2.04,1.59
Positivo,1714483665,-1.0054720843684,1,133655,svm,1714483665,1.98,1.59
Positivo,1714483667,-1.0054720843684,1,133655,svm,1714483667,1.91,1.59
Positivo,1714483669,-1.0054720843684,1,133655,svm,1714483669,1.86,1.59
Positivo,1714483671,-1.0054720843684,1,133655,svm,1714483671,1.78,1.59
Positivo,1714483673,-1.0054720843684,1,133655,svm,1714483673,1.73,1.59
Positivo,1714483675,-1.0054720843684,1,133655,svm,1714483675,1.68,1.59
Positivo,1714483677,-1.0054720843684,1,133655,svm,1714483677,1.64,1.59
Positivo,1714483679,-1.0054720843684,1,133655,svm,1714483679,1.66,1.58
Positivo,1714483681,-1.0054720843684,1,133655,svm,1714483681,1.62,1.58
